"Feed Title","URI","Day","Subscribers","Reach","Raw Hits","Clickthroughs","Downloads","Impressions"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-01-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-02-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-03-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-04-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-05-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-06-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-07-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-08-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-09-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-10-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-11-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-12-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-13-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-14-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-15-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-16-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-17-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-18-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-19-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-20-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-21-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-22-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-23-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-24-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-25-2016","0","0","1","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-26-2016","0","0","0","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-27-2016","0","0","0","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-28-2016","0","0","0","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-29-2016","0","0","0","0","0","0"
"www.Drazul.es.tl/ comments","Wwwdrazulestl/Comments","07-30-2016","0","0","0","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-01-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-02-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-03-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-04-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-05-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-06-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-07-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-08-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-09-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-10-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-11-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-12-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-13-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-14-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-15-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-16-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-17-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-18-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-19-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-20-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-21-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-22-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-23-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-24-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-25-2016","1","0","3","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-26-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-27-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-28-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-29-2016","1","0","1","0","0","0"
"Veterinaria Vallecanino","VeterinariaVallecanino","07-30-2016","1","0","1","0","0","0"
